totalFlips,clauses,tries,cb,ratio,flips,earlyRestarts,variables,lastRunEntropy,sat,entropy,flipsPerSecond
36378,2000,2,1.5000,4.0000,11378,0,500,0.9638,1,0.9665,38955.1145
386825,2000,16,1.5000,4.0000,11825,0,500,0.9525,1,0.9731,24612.9260
6743,2000,1,1.5000,4.0000,6743,0,500,0.9528,1,0.9528,103303.5556
60613,2000,3,1.5000,4.0000,10613,0,500,0.9583,1,0.9620,32571.0217
140640,2000,6,1.5000,4.0000,15640,0,500,0.9622,1,0.9665,27203.5218
6970,2000,1,1.5000,4.0000,6970,0,500,0.9398,1,0.9398,102833.6555
45361,2000,2,1.5000,4.0000,20361,0,500,0.9652,1,0.9662,36034.4124
214663,2000,9,1.5000,4.0000,14663,0,500,0.9643,1,0.9665,26026.8059
31950,2000,2,1.5000,4.0000,6950,0,500,0.9546,1,0.9605,41730.9267
64257,2000,3,1.5000,4.0000,14257,0,500,0.9605,1,0.9620,32082.1050
6544,2000,1,1.5000,4.0000,6544,0,500,0.9523,1,0.9523,107797.2133
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9731,0,0.9389,24231.5215
20907,2000,1,1.5000,4.0000,20907,0,500,0.9699,1,0.9699,51577.5353
42929,2000,2,1.5000,4.0000,17929,0,500,0.9599,1,0.9615,36120.2004
18081,2000,1,1.5000,4.0000,18081,0,500,0.9607,1,0.9607,55493.1541
11903,2000,1,1.5000,4.0000,11903,0,500,0.9646,1,0.9646,70849.1006
42559,2000,2,1.5000,4.0000,17559,0,500,0.9660,1,0.9666,36945.9064
7250000,2000,29,1.5000,4.0000,25000,0,500,0.9776,0,0.9411,24054.8556
21964,2000,1,1.5000,4.0000,21964,0,500,0.9696,1,0.9696,49892.8956
167093,2000,7,1.5000,4.0000,17093,0,500,0.9648,1,0.9688,26761.6369
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9736,0,0.9389,24287.8334
7250000,2000,29,1.5000,4.0000,25000,0,500,0.9747,0,0.9396,24160.2684
140965,2000,6,1.5000,4.0000,15965,0,500,0.9721,1,0.9710,27745.1100
13973,2000,1,1.5000,4.0000,13973,0,500,0.9556,1,0.9556,64205.4145
581597,2000,24,1.5000,4.0000,6597,0,500,0.9440,1,0.9665,24462.1398
32706,2000,2,1.5000,4.0000,7706,0,500,0.9503,1,0.9596,41133.1435
