flips,sat,earlyRestarts,entropy,lastRunEntropy,totalFlips,flipsPerSecond,ratio,clauses,variables,tries,cb
18775,1,0,0.9408,0.9408,18775,53742.6560,4.0000,2000,500,1,2.0000
8882,1,0,0.9394,0.9394,8882,85160.1392,4.0000,2000,500,1,2.0000
19486,1,0,0.9351,0.9351,19486,52304.7722,4.0000,2000,500,1,2.0000
14356,1,0,0.9540,0.9627,64356,31926.9045,4.0000,2000,500,3,2.0000
22694,1,0,0.9552,0.9552,22694,48809.6514,4.0000,2000,500,1,2.0000
6643,1,0,0.9078,0.9078,6643,106590.6283,4.0000,2000,500,1,2.0000
3741,1,0,0.9179,0.9179,3741,160969.7716,4.0000,2000,500,1,2.0000
23494,1,0,0.9524,0.9524,23494,46233.6219,4.0000,2000,500,1,2.0000
19817,1,0,0.9486,0.9486,19817,52488.0902,4.0000,2000,500,1,2.0000
3646,1,0,0.9180,0.9180,3646,163639.9736,4.0000,2000,500,1,2.0000
7628,1,0,0.9317,0.9213,32628,40101.6673,4.0000,2000,500,2,2.0000
18884,1,0,0.9405,0.9456,43884,36164.8989,4.0000,2000,500,2,2.0000
11367,1,0,0.9328,0.9328,11367,72982.4774,4.0000,2000,500,1,2.0000
20300,1,0,0.9617,0.9584,70300,31471.1911,4.0000,2000,500,3,2.0000
9406,1,0,0.9292,0.9292,9406,82941.3881,4.0000,2000,500,1,2.0000
3236,1,0,0.8983,0.8983,3236,177178.7741,4.0000,2000,500,1,2.0000
17837,1,0,0.9486,0.9486,17837,55390.5735,4.0000,2000,500,1,2.0000
6508,1,0,0.9257,0.9257,6508,107192.7888,4.0000,2000,500,1,2.0000
18629,1,0,0.9548,0.9548,18629,53912.6363,4.0000,2000,500,1,2.0000
4181,1,0,0.9028,0.9028,4181,148446.6730,4.0000,2000,500,1,2.0000
4193,1,0,0.9300,0.9300,4193,148448.1228,4.0000,2000,500,1,2.0000
14844,1,0,0.9505,0.9505,14844,60664.0419,4.0000,2000,500,1,2.0000
10735,1,0,0.9492,0.9492,10735,76735.0242,4.0000,2000,500,1,2.0000
12248,1,0,0.9351,0.9351,12248,68860.7003,4.0000,2000,500,1,2.0000
6353,1,0,0.9476,0.9476,6353,109449.2278,4.0000,2000,500,1,2.0000
5069,1,0,0.9557,0.9369,205069,26227.9297,4.0000,2000,500,9,2.0000
7850,1,0,0.9253,0.9253,7850,94335.2043,4.0000,2000,500,1,2.0000
9059,1,0,0.9519,0.9418,84059,30206.9365,4.0000,2000,500,4,2.0000
4654,1,0,0.9528,0.9192,154654,27134.3241,4.0000,2000,500,7,2.0000
4589,1,0,0.9211,0.9211,4589,135683.9900,4.0000,2000,500,1,2.0000
19902,1,0,0.9394,0.9415,44902,36360.5903,4.0000,2000,500,2,2.0000
20877,1,0,0.9392,0.9392,20877,51812.9585,4.0000,2000,500,1,2.0000
10348,1,0,0.9125,0.9125,10348,78669.8096,4.0000,2000,500,1,2.0000
6904,1,0,0.9232,0.9232,6904,99747.0637,4.0000,2000,500,1,2.0000
10463,1,0,0.9442,0.9442,10463,77107.4996,4.0000,2000,500,1,2.0000
18461,1,0,0.9217,0.9217,18461,54350.3068,4.0000,2000,500,1,2.0000
10293,1,0,0.9275,0.9275,10293,79103.9796,4.0000,2000,500,1,2.0000
6945,1,0,0.9546,0.9214,156945,27106.6420,4.0000,2000,500,7,2.0000
9955,1,0,0.9159,0.9159,9955,78664.3261,4.0000,2000,500,1,2.0000
13554,1,0,0.9349,0.9349,13554,65004.3380,4.0000,2000,500,1,2.0000
19888,1,0,0.9482,0.9508,69888,31229.9750,4.0000,2000,500,3,2.0000
2228,1,0,0.8916,0.8916,2228,239023.8941,4.0000,2000,500,1,2.0000
12179,1,0,0.9511,0.9433,37179,38808.3162,4.0000,2000,500,2,2.0000
3130,1,0,0.9335,0.9152,28130,43965.7630,4.0000,2000,500,2,2.0000
9078,1,0,0.9311,0.9311,9078,84797.7592,4.0000,2000,500,1,2.0000
10281,1,0,0.9460,0.9517,135281,27422.0063,4.0000,2000,500,6,2.0000
20564,1,0,0.9480,0.9480,20564,51649.6318,4.0000,2000,500,1,2.0000
16475,1,0,0.9420,0.9420,16475,58072.7619,4.0000,2000,500,1,2.0000
7620,1,0,0.9296,0.9296,7620,96049.6390,4.0000,2000,500,1,2.0000
15082,1,0,0.9367,0.9367,15082,60127.4010,4.0000,2000,500,1,2.0000
4462,1,0,0.9396,0.9396,4462,142157.3885,4.0000,2000,500,1,2.0000
9784,1,0,0.9313,0.9313,9784,78847.8766,4.0000,2000,500,1,2.0000
12244,1,0,0.9515,0.9584,62244,32333.1317,4.0000,2000,500,3,2.0000
3652,1,0,0.9205,0.9205,3652,164386.4374,4.0000,2000,500,1,2.0000
7699,1,0,0.9306,0.9306,7699,93987.6144,4.0000,2000,500,1,2.0000
16177,1,0,0.9464,0.9464,16177,59233.8326,4.0000,2000,500,1,2.0000
16902,1,0,0.9574,0.9574,16902,57296.5338,4.0000,2000,500,1,2.0000
3645,1,0,0.9386,0.9255,28645,42048.3627,4.0000,2000,500,2,2.0000
3796,1,0,0.9043,0.9043,3796,162552.3750,4.0000,2000,500,1,2.0000
18310,1,0,0.9262,0.9262,18310,54327.0155,4.0000,2000,500,1,2.0000
21484,1,0,0.9567,0.9567,21484,50174.2431,4.0000,2000,500,1,2.0000
13104,1,0,0.9264,0.9264,13104,67652.3841,4.0000,2000,500,1,2.0000
19524,1,0,0.9515,0.9515,19524,53515.5261,4.0000,2000,500,1,2.0000
10632,1,0,0.9424,0.9424,10632,76412.8391,4.0000,2000,500,1,2.0000
9660,1,0,0.9374,0.9374,9660,81951.7261,4.0000,2000,500,1,2.0000
7175,1,0,0.9297,0.9297,7175,99255.2686,4.0000,2000,500,1,2.0000
10802,1,0,0.9400,0.9400,10802,75754.4430,4.0000,2000,500,1,2.0000
9503,1,0,0.9309,0.9309,9503,82590.2205,4.0000,2000,500,1,2.0000
12119,1,0,0.9383,0.9383,12119,71324.6159,4.0000,2000,500,1,2.0000
1850,1,0,0.8990,0.8990,1850,275236.3042,4.0000,2000,500,1,2.0000
8371,1,0,0.9280,0.9280,8371,90068.6472,4.0000,2000,500,1,2.0000
4058,1,0,0.9139,0.9139,4058,140487.9643,4.0000,2000,500,1,2.0000
11661,1,0,0.9390,0.9390,11661,71096.7352,4.0000,2000,500,1,2.0000
9563,1,0,0.9232,0.9232,9563,81868.9992,4.0000,2000,500,1,2.0000
19539,1,0,0.9524,0.9524,19539,52889.3209,4.0000,2000,500,1,2.0000
11159,1,0,0.9560,0.9399,386159,24579.4334,4.0000,2000,500,16,2.0000
19684,1,0,0.9530,0.9476,44684,36255.1616,4.0000,2000,500,2,2.0000
17143,1,0,0.9415,0.9415,17143,56947.6691,4.0000,2000,500,1,2.0000
9063,1,0,0.9585,0.9462,359063,24988.7321,4.0000,2000,500,15,2.0000
9893,1,0,0.9417,0.9276,59893,34427.8406,4.0000,2000,500,3,2.0000
22233,1,0,0.9443,0.9443,22233,52275.8726,4.0000,2000,500,1,2.0000
24216,1,0,0.9408,0.9408,24216,47240.6310,4.0000,2000,500,1,2.0000
10858,1,0,0.9383,0.9383,10858,75691.5961,4.0000,2000,500,1,2.0000
9722,1,0,0.9318,0.9318,9722,80282.7660,4.0000,2000,500,1,2.0000
3003,1,0,0.8656,0.8656,3003,189836.3764,4.0000,2000,500,1,2.0000
18248,1,0,0.9559,0.9543,43248,36801.8797,4.0000,2000,500,2,2.0000
24233,1,0,0.9552,0.9552,24233,47855.2032,4.0000,2000,500,1,2.0000
7883,1,0,0.9132,0.9132,7883,91946.6128,4.0000,2000,500,1,2.0000
5785,1,0,0.9168,0.9168,5785,117965.0994,4.0000,2000,500,1,2.0000
25000,0,0,0.9259,0.9676,7250000,24012.3124,4.0000,2000,500,29,2.0000
12383,1,0,0.9337,0.9337,12383,68828.6845,4.0000,2000,500,1,2.0000
6715,1,0,0.9503,0.9503,6715,105246.2795,4.0000,2000,500,1,2.0000
5125,1,0,0.9444,0.9445,55125,33766.9126,4.0000,2000,500,3,2.0000
13721,1,0,0.9543,0.9543,13721,65636.9925,4.0000,2000,500,1,2.0000
12884,1,0,0.9435,0.9333,37884,39438.2967,4.0000,2000,500,2,2.0000
5463,1,0,0.9284,0.9284,5463,126582.4733,4.0000,2000,500,1,2.0000
19649,1,0,0.9371,0.9371,19649,55863.5800,4.0000,2000,500,1,2.0000
12616,1,0,0.9477,0.9477,12616,68556.2435,4.0000,2000,500,1,2.0000
4760,1,0,0.9037,0.9037,4760,136698.4372,4.0000,2000,500,1,2.0000
6600,1,0,0.9271,0.9271,6600,107108.4883,4.0000,2000,500,1,2.0000
4250,1,0,0.9159,0.9159,4250,147472.4843,4.0000,2000,500,1,2.0000
1272,1,0,0.9027,0.9027,1272,352282.0062,4.0000,2000,500,1,2.0000
13387,1,0,0.9459,0.9459,13387,66632.1302,4.0000,2000,500,1,2.0000
8122,1,0,0.9417,0.9417,8122,92462.5834,4.0000,2000,500,1,2.0000
3407,1,0,0.9072,0.9072,3407,173814.0127,4.0000,2000,500,1,2.0000
13966,1,0,0.9452,0.9452,13966,65278.5582,4.0000,2000,500,1,2.0000
25000,0,0,0.9228,0.9663,7500000,24216.1393,4.0000,2000,500,30,2.0000
4700,1,0,0.9090,0.9090,4700,136074.1273,4.0000,2000,500,1,2.0000
21570,1,0,0.9592,0.9592,21570,51083.9922,4.0000,2000,500,1,2.0000
8043,1,0,0.9444,0.9444,8043,93768.0008,4.0000,2000,500,1,2.0000
23260,1,0,0.9504,0.9513,48260,36445.2584,4.0000,2000,500,2,2.0000
6509,1,0,0.9366,0.9366,6509,112345.4230,4.0000,2000,500,1,2.0000
3229,1,0,0.9211,0.9211,3229,190382.2528,4.0000,2000,500,1,2.0000
12552,1,0,0.9373,0.9373,12552,68668.5799,4.0000,2000,500,1,2.0000
6130,1,0,0.9198,0.9198,6130,111203.0125,4.0000,2000,500,1,2.0000
4262,1,0,0.9260,0.9260,4262,146546.5049,4.0000,2000,500,1,2.0000
6691,1,0,0.9342,0.9342,6691,105265.4951,4.0000,2000,500,1,2.0000
12033,1,0,0.9456,0.9456,12033,70919.0069,4.0000,2000,500,1,2.0000
20381,1,0,0.9294,0.9294,20381,52158.7311,4.0000,2000,500,1,2.0000
7930,1,0,0.9459,0.9459,7930,93881.4144,4.0000,2000,500,1,2.0000
3859,1,0,0.9300,0.9300,3859,145474.2130,4.0000,2000,500,1,2.0000
10034,1,0,0.9212,0.9212,10034,79468.9458,4.0000,2000,500,1,2.0000
5960,1,0,0.9125,0.9125,5960,113362.3385,4.0000,2000,500,1,2.0000
15276,1,0,0.9550,0.9550,15276,61012.2006,4.0000,2000,500,1,2.0000
6827,1,0,0.9384,0.9161,31827,41078.9699,4.0000,2000,500,2,2.0000
1660,1,0,0.9024,0.9024,1660,297179.0211,4.0000,2000,500,1,2.0000
6695,1,0,0.9237,0.9237,6695,99124.3679,4.0000,2000,500,1,2.0000
5742,1,0,0.9223,0.9223,5742,118220.2534,4.0000,2000,500,1,2.0000
3974,1,0,0.9275,0.9275,3974,144041.8025,4.0000,2000,500,1,2.0000
22141,1,0,0.9365,0.9365,22141,48417.9570,4.0000,2000,500,1,2.0000
6996,1,0,0.9240,0.9240,6996,101739.9923,4.0000,2000,500,1,2.0000
17837,1,0,0.9470,0.9470,17837,55206.8298,4.0000,2000,500,1,2.0000
