cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,25000,21378.7360,1.2942,4500000,0,0.5500,18,1.1824,500,0,2050
2.3800,4.1000,3736,144114.4423,0.8736,3736,0,0.6500,1,0.8736,500,1,2050
2.3800,4.1000,16226,51430.2692,0.9187,16226,0,0.6500,1,0.9187,500,1,2050
2.3800,4.1000,10716,66755.6549,0.8959,10716,0,0.6500,1,0.8959,500,1,2050
2.3800,4.1000,23676,41320.4155,0.9213,23676,0,0.6000,1,0.9213,500,1,2050
2.3800,4.1000,13662,28278.3784,0.8967,63662,0,0.6500,3,1.1444,500,1,2050
2.3800,4.1000,5143,113646.6160,0.8990,5143,0,0.6000,1,0.8990,500,1,2050
2.3800,4.1000,21046,31032.9229,0.8823,46046,0,0.4000,2,1.0844,500,1,2050
2.3800,4.1000,14337,32808.0463,0.8915,39337,0,0.6000,2,0.9715,500,1,2050
2.3800,4.1000,25000,21270.2143,1.1609,4500000,0,0.6500,18,1.1441,500,0,2050
2.3800,4.1000,10087,69725.9510,0.9272,10087,0,0.5000,1,0.9272,500,1,2050
2.3800,4.1000,16972,22186.5395,0.9061,241972,0,0.6000,10,1.2535,500,1,2050
2.3800,4.1000,5391,109591.9122,0.8879,5391,0,0.4000,1,0.8879,500,1,2050
2.3800,4.1000,16506,31852.0954,0.8347,41506,0,0.5000,2,1.0717,500,1,2050
2.3800,4.1000,2801,180593.8631,0.9069,2801,0,0.5000,1,0.9069,500,1,2050
2.3800,4.1000,2080,225039.5811,0.8576,2080,0,0.6500,1,0.8576,500,1,2050
2.3800,4.1000,6720,92488.4378,0.8957,6720,0,0.5000,1,0.8957,500,1,2050
2.3800,4.1000,9426,34346.9279,0.9062,34426,0,0.4000,2,1.0951,500,1,2050
2.3800,4.1000,25000,21222.4875,1.2229,4500000,0,0.5500,18,1.0922,500,0,2050
2.3800,4.1000,15032,32426.2005,0.9156,40032,0,0.6500,2,1.1105,500,1,2050
2.3800,4.1000,17659,32257.0409,0.9128,42659,0,0.5500,2,1.0697,500,1,2050
2.3800,4.1000,25000,21413.3016,0.9605,4500000,0,0.5000,18,1.0804,500,0,2050
