totalFlips,lastRunEntropy,tries,earlyRestarts,variables,flipsPerSecond,entropy,flips,cb,minEntropy,ratio,sat,clauses
347156,0.9288,14,0,500,24456.5624,1.2356,22156,2.3800,0.0000,4.2000,1,2100
8315,0.8963,1,0,500,89236.4073,0.8963,8315,2.3800,0.0000,4.2000,1,2100
369201,0.9446,15,0,500,24667.6935,1.1795,19201,2.3800,0.0000,4.2000,1,2100
14604,0.8916,1,0,500,63238.3042,0.8916,14604,2.3800,0.0000,4.2000,1,2100
5000000,1.1903,20,0,500,24326.5584,1.1649,25000,2.3800,0.0000,4.2000,0,2100
196743,0.9212,8,0,500,26202.9621,1.1852,21743,2.3800,0.0000,4.2000,1,2100
30927,0.8804,2,0,500,41235.9091,1.1046,5927,2.3800,0.0000,4.2000,1,2100
5000000,1.2162,20,0,500,24377.3027,1.1373,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1733,20,0,500,24226.5814,1.1300,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1087,20,0,500,24201.2773,1.0882,25000,2.3800,0.0000,4.2000,0,2100
19347,0.9180,1,0,500,52159.1653,0.9180,19347,2.3800,0.0000,4.2000,1,2100
294857,0.9457,12,0,500,24895.7740,1.2242,19857,2.3800,0.0000,4.2000,1,2100
163775,0.9502,7,0,500,26558.6334,1.1999,13775,2.3800,0.0000,4.2000,1,2100
5000000,1.1456,20,0,500,24360.5146,1.0513,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2462,20,0,500,24178.4322,1.1947,25000,2.3800,0.0000,4.2000,0,2100
64113,0.9169,3,0,500,32066.1548,1.1335,14113,2.3800,0.0000,4.2000,1,2100
30951,0.9274,2,0,500,39638.1059,1.0740,5951,2.3800,0.0000,4.2000,1,2100
140917,0.9018,6,0,500,27059.1662,1.1572,15917,2.3800,0.0000,4.2000,1,2100
5000000,1.0443,20,0,500,24494.7933,1.1462,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2971,20,0,500,24429.6603,1.1520,25000,2.3800,0.0000,4.2000,0,2100
95530,0.9385,4,0,500,29411.0404,1.1328,20530,2.3800,0.0000,4.2000,1,2100
149220,0.9285,6,0,500,27090.4186,1.1848,24220,2.3800,0.0000,4.2000,1,2100
6722,0.8692,1,0,500,103859.7482,0.8692,6722,2.3800,0.0000,4.2000,1,2100
68226,0.9027,3,0,500,31843.4172,1.1224,18226,2.3800,0.0000,4.2000,1,2100
466160,0.9414,19,0,500,24105.0685,1.2331,16160,2.3800,0.0000,4.2000,1,2100
86537,0.9301,4,0,500,30197.6145,1.1707,11537,2.3800,0.0000,4.2000,1,2100
124145,0.9311,5,0,500,27475.1081,1.1932,24145,2.3800,0.0000,4.2000,1,2100
7390,0.9402,1,0,500,98627.3880,0.9402,7390,2.3800,0.0000,4.2000,1,2100
221049,0.9502,9,0,500,26066.7885,1.2148,21049,2.3800,0.0000,4.2000,1,2100
5000000,1.1844,20,0,500,24490.4193,1.1889,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.3056,20,0,500,24017.9855,1.1426,25000,2.3800,0.0000,4.2000,0,2100
46399,0.9220,2,0,500,35551.9118,1.0616,21399,2.3800,0.0000,4.2000,1,2100
115966,0.8854,5,0,500,27496.9125,1.2142,15966,2.3800,0.0000,4.2000,1,2100
289101,0.9277,12,0,500,25108.1855,1.2661,14101,2.3800,0.0000,4.2000,1,2100
161041,0.9311,7,0,500,26609.8074,1.1700,11041,2.3800,0.0000,4.2000,1,2100
30045,0.9250,2,0,500,42147.5027,1.1071,5045,2.3800,0.0000,4.2000,1,2100
11088,0.8487,1,0,500,74017.1897,0.8487,11088,2.3800,0.0000,4.2000,1,2100
72050,0.9533,3,0,500,31361.5328,1.1243,22050,2.3800,0.0000,4.2000,1,2100
413047,0.9102,17,0,500,24527.5336,1.1727,13047,2.3800,0.0000,4.2000,1,2100
5000000,1.2726,20,0,500,24338.2769,1.1761,25000,2.3800,0.0000,4.2000,0,2100
316522,0.8918,13,0,500,24686.2689,1.2580,16522,2.3800,0.0000,4.2000,1,2100
192997,0.9322,8,0,500,26382.3721,1.1898,17997,2.3800,0.0000,4.2000,1,2100
10169,0.8955,1,0,500,77696.8025,0.8955,10169,2.3800,0.0000,4.2000,1,2100
7672,0.9036,1,0,500,94337.5303,0.9036,7672,2.3800,0.0000,4.2000,1,2100
31166,0.8817,2,0,500,41335.0035,1.0998,6166,2.3800,0.0000,4.2000,1,2100
5000000,1.1659,20,0,500,24528.5001,1.0961,25000,2.3800,0.0000,4.2000,0,2100
42272,0.9061,2,0,500,37007.9531,1.1114,17272,2.3800,0.0000,4.2000,1,2100
5000000,1.3221,20,0,500,24213.7789,1.2009,25000,2.3800,0.0000,4.2000,0,2100
5000000,0.9575,20,0,500,24252.2451,1.1175,25000,2.3800,0.0000,4.2000,0,2100
236159,0.9455,10,0,500,25286.3858,1.2295,11159,2.3800,0.0000,4.2000,1,2100
373284,0.9379,15,0,500,24857.7008,1.1944,23284,2.3800,0.0000,4.2000,1,2100
43380,0.9446,2,0,500,36560.4192,1.0043,18380,2.3800,0.0000,4.2000,1,2100
5000000,1.1629,20,0,500,24475.1205,1.0727,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1369,20,0,500,24203.3455,1.1615,25000,2.3800,0.0000,4.2000,0,2100
21827,0.9296,1,0,500,49378.6828,0.9296,21827,2.3800,0.0000,4.2000,1,2100
363118,0.8893,15,0,500,24718.6315,1.2224,13118,2.3800,0.0000,4.2000,1,2100
39905,0.8808,2,0,500,36343.4013,1.0442,14905,2.3800,0.0000,4.2000,1,2100
5000000,1.2304,20,0,500,24476.6180,1.1764,25000,2.3800,0.0000,4.2000,0,2100
90601,0.9325,4,0,500,29654.0546,1.1014,15601,2.3800,0.0000,4.2000,1,2100
5000000,1.1915,20,0,500,24378.3243,1.1363,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1690,20,0,500,24355.1379,1.1603,25000,2.3800,0.0000,4.2000,0,2100
12147,0.9201,1,0,500,69956.9501,0.9201,12147,2.3800,0.0000,4.2000,1,2100
5000000,1.1903,20,0,500,24293.9153,1.0441,25000,2.3800,0.0000,4.2000,0,2100
4623,0.8929,1,0,500,136844.9967,0.8929,4623,2.3800,0.0000,4.2000,1,2100
10936,0.9028,1,0,500,74686.0016,0.9028,10936,2.3800,0.0000,4.2000,1,2100
60832,0.8625,3,0,500,32378.5466,1.1100,10832,2.3800,0.0000,4.2000,1,2100
70409,0.9374,3,0,500,31526.0757,1.1483,20409,2.3800,0.0000,4.2000,1,2100
5000000,1.0563,20,0,500,24377.4180,1.1585,25000,2.3800,0.0000,4.2000,0,2100
93946,0.9169,4,0,500,29295.5532,1.1164,18946,2.3800,0.0000,4.2000,1,2100
331418,0.9016,14,0,500,25001.3412,1.1656,6418,2.3800,0.0000,4.2000,1,2100
15808,0.9155,1,0,500,56038.6170,0.9155,15808,2.3800,0.0000,4.2000,1,2100
5000000,1.2536,20,0,500,24297.0423,1.1555,25000,2.3800,0.0000,4.2000,0,2100
70581,0.9153,3,0,500,31493.4371,1.1827,20581,2.3800,0.0000,4.2000,1,2100
207132,0.9333,9,0,500,26044.0787,1.1842,7132,2.3800,0.0000,4.2000,1,2100
285229,0.9121,12,0,500,25365.6025,1.1970,10229,2.3800,0.0000,4.2000,1,2100
5000000,1.2620,20,0,500,24647.8713,1.1609,25000,2.3800,0.0000,4.2000,0,2100
14275,0.9171,1,0,500,63472.0229,0.9171,14275,2.3800,0.0000,4.2000,1,2100
236306,0.9386,10,0,500,25603.2318,1.1974,11306,2.3800,0.0000,4.2000,1,2100
16328,0.9011,1,0,500,58560.7019,0.9011,16328,2.3800,0.0000,4.2000,1,2100
20835,0.9178,1,0,500,50679.3747,0.9178,20835,2.3800,0.0000,4.2000,1,2100
97637,0.9179,4,0,500,29023.3650,1.2281,22637,2.3800,0.0000,4.2000,1,2100
320829,0.9437,13,0,500,24930.7515,1.1797,20829,2.3800,0.0000,4.2000,1,2100
22595,0.9155,1,0,500,48811.9995,0.9155,22595,2.3800,0.0000,4.2000,1,2100
44320,0.9365,2,0,500,36193.1260,1.0858,19320,2.3800,0.0000,4.2000,1,2100
92907,0.9406,4,0,500,29403.5042,1.2141,17907,2.3800,0.0000,4.2000,1,2100
5000000,1.2553,20,0,500,24344.1068,1.1476,25000,2.3800,0.0000,4.2000,0,2100
8018,0.8995,1,0,500,92404.2409,0.8995,8018,2.3800,0.0000,4.2000,1,2100
149724,0.9134,6,0,500,27185.0134,1.1298,24724,2.3800,0.0000,4.2000,1,2100
41269,0.8919,2,0,500,37095.3289,1.0310,16269,2.3800,0.0000,4.2000,1,2100
5000000,1.2621,20,0,500,24383.5249,1.1605,25000,2.3800,0.0000,4.2000,0,2100
70033,0.8946,3,0,500,31295.9912,1.1452,20033,2.3800,0.0000,4.2000,1,2100
