variables,cb,totalFlips,entropy,minEntropy,clauses,earlyRestarts,ratio,lastRunEntropy,flips,flipsPerSecond,tries,sat
500,2.3800,5000000,0.8937,0.0000,2050,0,4.1000,0.9380,25000,24131.8356,20,0
500,2.3800,5000000,0.8904,0.0000,2050,0,4.1000,0.9544,25000,24005.8015,20,0
500,2.3800,15748,0.9474,0.0000,2050,0,4.1000,0.9474,15748,59665.4589,1,1
500,2.3800,57610,0.9100,0.0000,2050,0,4.1000,0.9246,7610,33005.4068,3,1
500,2.3800,36693,0.9384,0.0000,2050,0,4.1000,0.9341,11693,38514.5101,2,1
500,2.3800,3687,0.8757,0.0000,2050,0,4.1000,0.8757,3687,159051.9420,1,1
500,2.3800,47453,0.9332,0.0000,2050,0,4.1000,0.9456,22453,35395.4384,2,1
500,2.3800,5000000,0.8769,0.0000,2050,0,4.1000,0.9416,25000,24293.7608,20,0
500,2.3800,20195,0.9375,0.0000,2050,0,4.1000,0.9375,20195,51617.3781,1,1
500,2.3800,24035,0.9417,0.0000,2050,0,4.1000,0.9417,24035,46306.6914,1,1
500,2.3800,60979,0.9042,0.0000,2050,0,4.1000,0.9149,10979,31893.7167,3,1
500,2.3800,22256,0.8840,0.0000,2050,0,4.1000,0.8840,22256,49501.9931,1,1
500,2.3800,6794,0.8835,0.0000,2050,0,4.1000,0.8835,6794,98578.3244,1,1
500,2.3800,106645,0.9378,0.0000,2050,0,4.1000,0.9016,6645,28123.8817,5,1
500,2.3800,392563,0.9108,0.0000,2050,0,4.1000,0.8815,17563,24415.0196,16,1
500,2.3800,14711,0.8817,0.0000,2050,0,4.1000,0.8817,14711,61238.2232,1,1
500,2.3800,5000000,0.8830,0.0000,2050,0,4.1000,0.8885,25000,23747.5887,20,0
500,2.3800,45559,0.9399,0.0000,2050,0,4.1000,0.9365,20559,35475.4594,2,1
500,2.3800,19138,0.8815,0.0000,2050,0,4.1000,0.8815,19138,51184.2441,1,1
500,2.3800,11246,0.9205,0.0000,2050,0,4.1000,0.9205,11246,71371.0085,1,1
500,2.3800,5000000,0.8917,0.0000,2050,0,4.1000,0.9495,25000,23864.1469,20,0
