sat,clauses,flips,variables,earlyRestarts,tries,flipsPerSecond,entropy,lastRunEntropy,totalFlips,ratio,minEntropy,cb
0,2100,25000,500,0,20,23939.3168,0.9335,0.9828,5000000,4.2000,0.0000,0.3000
1,2100,8959,500,0,9,25849.0293,0.9602,0.9472,208959,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24592.0225,0.8696,0.9336,5000000,4.2000,0.0000,2.7000
1,2100,15623,500,0,8,26237.3849,0.8385,0.8213,190623,4.2000,0.0000,3.2000
0,2100,25000,500,0,20,24293.7143,0.9337,0.9817,5000000,4.2000,0.0000,0.4000
1,2100,18207,500,0,12,25511.9406,0.6669,0.6205,293207,4.2000,0.0000,4.7000
0,2100,25000,500,0,20,24220.3308,0.9334,0.9831,5000000,4.2000,0.0000,0.2000
1,2100,13553,500,0,14,25025.7475,0.7708,0.8183,338553,4.2000,0.0000,3.8000
1,2100,5715,500,0,5,28724.7516,0.7966,0.8018,105715,4.2000,0.0000,3.9000
1,2100,8534,500,0,3,33240.5335,0.7289,0.7848,58534,4.2000,0.0000,4.7000
0,2100,25000,500,0,20,24296.5326,0.9347,0.9840,5000000,4.2000,0.0000,0.4000
0,2100,25000,500,0,20,24777.2662,0.8711,0.9347,5000000,4.2000,0.0000,2.7000
1,2100,22427,500,0,2,36614.8991,0.6608,0.6921,47427,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24661.0657,0.8119,0.9072,5000000,4.2000,0.0000,3.0000
0,2100,25000,500,0,20,24550.4261,0.7836,0.8636,5000000,4.2000,0.0000,3.5000
1,2100,21779,500,0,7,26948.7215,0.8262,0.8484,171779,4.2000,0.0000,3.3000
0,2100,25000,500,0,20,24024.9837,0.9339,0.9818,5000000,4.2000,0.0000,0.2000
1,2100,11320,500,0,10,25924.9186,0.6953,0.6602,236320,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24529.8695,0.9147,0.9640,5000000,4.2000,0.0000,2.1000
1,2100,14633,500,0,6,27658.5536,0.8936,0.8819,139633,4.2000,0.0000,2.7000
0,2100,25000,500,0,20,24494.0972,0.9292,0.9781,5000000,4.2000,0.0000,1.2000
0,2100,25000,500,0,21,24985.0609,0.7221,0.8387,5250000,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24166.5473,0.9347,0.9838,5000000,4.2000,0.0000,0.4000
0,2100,25000,500,0,20,24273.1786,0.9302,0.9784,5000000,4.2000,0.0000,1.1000
0,2100,25000,500,0,20,24664.1540,0.7103,0.7879,5000000,4.2000,0.0000,4.5000
1,2100,4475,500,0,1,142598.5663,0.9403,0.9403,4475,4.2000,0.0000,2.1000
0,2100,25000,500,0,20,24816.6503,0.8239,0.8734,5000000,4.2000,0.0000,3.1000
0,2100,25000,500,0,20,24533.9100,0.9293,0.9783,5000000,4.2000,0.0000,1.0000
0,2100,25000,500,0,20,24881.0937,0.8694,0.9190,5000000,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24327.6420,0.9340,0.9830,5000000,4.2000,0.0000,0.3000
0,2100,25000,500,0,20,24365.9302,0.9306,0.9779,5000000,4.2000,0.0000,0.8000
0,2100,25000,500,0,20,24515.4720,0.9341,0.9820,5000000,4.2000,0.0000,0.9000
0,2100,25000,500,0,20,24319.5380,0.9257,0.9746,5000000,4.2000,0.0000,1.2000
0,2100,25000,500,0,20,24559.3126,0.8770,0.9439,5000000,4.2000,0.0000,2.4000
0,2100,25000,500,0,20,24796.1577,0.8690,0.8879,5000000,4.2000,0.0000,2.7000
0,2100,25000,500,0,20,24403.7268,0.9326,0.9810,5000000,4.2000,0.0000,0.6000
1,2100,23275,500,0,9,26377.2305,0.8316,0.8163,223275,4.2000,0.0000,3.5000
0,2100,25000,500,0,20,24387.8415,0.9334,0.9833,5000000,4.2000,0.0000,0.7000
0,2100,25000,500,0,20,24909.4313,0.6832,0.7273,5000000,4.2000,0.0000,4.8000
0,2100,25000,500,0,21,24969.6872,0.8001,0.7821,5250000,4.2000,0.0000,3.7000
0,2100,25000,500,0,20,24247.7897,0.9332,0.9819,5000000,4.2000,0.0000,0.4000
0,2100,25000,500,0,20,24401.4075,0.9309,0.9801,5000000,4.2000,0.0000,0.7000
0,2100,25000,500,0,20,24709.7411,0.8210,0.8762,5000000,4.2000,0.0000,2.9000
0,2100,25000,500,0,20,24549.5076,0.9192,0.9639,5000000,4.2000,0.0000,1.7000
1,2100,22695,500,0,3,31733.2590,0.9353,0.9422,72695,4.2000,0.0000,2.5000
0,2100,25000,500,0,20,24960.6829,0.7732,0.8221,5000000,4.2000,0.0000,3.6000
0,2100,25000,500,0,20,24560.8871,0.9070,0.9629,5000000,4.2000,0.0000,2.1000
0,2100,25000,500,0,20,24744.2448,0.7986,0.8299,5000000,4.2000,0.0000,3.5000
1,2100,8448,500,0,2,38848.1859,0.9589,0.9523,33448,4.2000,0.0000,1.4000
0,2100,25000,500,0,20,24018.5783,0.9340,0.9838,5000000,4.2000,0.0000,0.0000
0,2100,25000,500,0,20,24177.3347,0.9348,0.9833,5000000,4.2000,0.0000,0.3000
0,2100,25000,500,0,20,24319.5820,0.8776,0.9000,5000000,4.2000,0.0000,2.5000
0,2100,25000,500,0,20,24562.7831,0.9254,0.9740,5000000,4.2000,0.0000,1.2000
0,2100,25000,500,0,20,24895.6524,0.7190,0.8475,5000000,4.2000,0.0000,4.3000
0,2100,25000,500,0,20,24686.7325,0.8162,0.8924,5000000,4.2000,0.0000,3.1000
0,2100,25000,500,0,20,24555.6237,0.9210,0.9683,5000000,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24983.8841,0.7395,0.8626,5000000,4.2000,0.0000,4.2000
1,2100,19952,500,0,9,26581.6589,0.7521,0.7247,219952,4.2000,0.0000,4.3000
1,2100,6545,500,0,14,24682.8885,0.9634,0.9496,331545,4.2000,0.0000,1.8000
0,2100,25000,500,0,20,24211.7988,0.6784,0.7653,5000000,4.2000,0.0000,4.7000
0,2100,25000,500,0,20,24310.2938,0.9159,0.9705,5000000,4.2000,0.0000,2.0000
1,2100,15279,500,0,3,32097.9021,0.8477,0.8442,65279,4.2000,0.0000,3.3000
0,2100,25000,500,0,20,24165.1898,0.9344,0.9837,5000000,4.2000,0.0000,0.4000
1,2100,4445,500,0,12,25340.7866,0.8833,0.8819,279445,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24172.6457,0.9346,0.9836,5000000,4.2000,0.0000,0.2000
0,2100,25000,500,0,20,24289.6550,0.9324,0.9814,5000000,4.2000,0.0000,0.5000
1,2100,23546,500,0,9,26194.9241,0.8190,0.8151,223546,4.2000,0.0000,3.6000
0,2100,25000,500,0,20,24291.6753,0.9314,0.9808,5000000,4.2000,0.0000,0.4000
0,2100,25000,500,0,20,24878.9242,0.7861,0.8259,5000000,4.2000,0.0000,3.9000
1,2100,2786,500,0,13,25473.7471,0.8275,0.8904,302786,4.2000,0.0000,3.3000
0,2100,25000,500,0,20,24645.3292,0.7159,0.7787,5000000,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24557.7038,0.9256,0.9753,5000000,4.2000,0.0000,1.4000
0,2100,25000,500,0,20,24873.4614,0.8432,0.8793,5000000,4.2000,0.0000,2.9000
1,2100,9130,500,0,2,39980.2420,0.9523,0.9421,34130,4.2000,0.0000,1.9000
0,2100,25000,500,0,20,24963.9448,0.7639,0.8733,5000000,4.2000,0.0000,3.8000
0,2100,25000,500,0,20,24772.0072,0.8032,0.8213,5000000,4.2000,0.0000,3.3000
1,2100,23398,500,0,1,47832.3443,0.8991,0.8991,23398,4.2000,0.0000,2.7000
0,2100,25000,500,0,20,24656.1834,0.9260,0.9751,5000000,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24390.1667,0.9327,0.9807,5000000,4.2000,0.0000,0.1000
0,2100,25000,500,0,20,24521.7638,0.9176,0.9575,5000000,4.2000,0.0000,1.7000
1,2100,9030,500,0,7,26803.2517,0.8804,0.9246,159030,4.2000,0.0000,2.9000
0,2100,25000,500,0,20,24481.1953,0.9220,0.9694,5000000,4.2000,0.0000,1.8000
1,2100,5269,500,0,1,125539.0476,0.9234,0.9234,5269,4.2000,0.0000,2.2000
0,2100,25000,500,0,20,24681.9014,0.8881,0.9314,5000000,4.2000,0.0000,2.5000
0,2100,25000,500,0,20,24402.8558,0.9277,0.9776,5000000,4.2000,0.0000,1.1000
0,2100,25000,500,0,20,24674.7505,0.7450,0.8194,5000000,4.2000,0.0000,4.5000
0,2100,25000,500,0,20,24741.9120,0.7301,0.7686,5000000,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24947.0962,0.7187,0.7574,5000000,4.2000,0.0000,4.9000
0,2100,25000,500,0,20,24666.1336,0.9253,0.9664,5000000,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24552.2855,0.9244,0.9748,5000000,4.2000,0.0000,1.6000
