entropy,totalFlips,cb,flips,variables,ratio,tries,flipsPerSecond,clauses,earlyRestarts,sat
9.4655,14000000,0.0000,50000,1000,4.2000,28,22969.0596,4200,0,0
9.4564,14000000,0.0000,50000,1000,4.2000,28,22793.7058,4200,0,0
9.4563,14000000,0.0000,50000,1000,4.2000,28,22868.7731,4200,0,0
9.4698,14000000,0.0000,50000,1000,4.2000,28,22960.3983,4200,0,0
9.4676,14000000,0.0000,50000,1000,4.2000,28,22881.0745,4200,0,0
9.4577,14000000,0.0000,50000,1000,4.2000,28,22880.9295,4200,0,0
9.4785,14000000,0.0000,50000,1000,4.2000,28,22935.7693,4200,0,0
9.4532,14000000,0.0000,50000,1000,4.2000,28,22828.3321,4200,0,0
9.4593,14000000,0.0000,50000,1000,4.2000,28,22788.8660,4200,0,0
9.4609,14000000,0.0000,50000,1000,4.2000,28,22690.1287,4200,0,0
9.4743,14000000,0.0000,50000,1000,4.2000,28,22895.9757,4200,0,0
9.4707,14000000,0.0000,50000,1000,4.2000,28,22714.7448,4200,0,0
9.4703,14000000,0.0000,50000,1000,4.2000,28,22960.1417,4200,0,0
9.4568,14000000,0.0000,50000,1000,4.2000,28,22893.1894,4200,0,0
9.4614,14000000,0.0000,50000,1000,4.2000,28,22913.4739,4200,0,0
9.4764,14000000,0.0000,50000,1000,4.2000,28,22945.3576,4200,0,0
9.4696,14000000,0.0000,50000,1000,4.2000,28,22863.2806,4200,0,0
9.4668,14000000,0.0000,50000,1000,4.2000,28,22823.2658,4200,0,0
9.4587,14000000,0.0000,50000,1000,4.2000,28,22869.5950,4200,0,0
9.4707,14000000,0.0000,50000,1000,4.2000,28,22877.6194,4200,0,0
9.4623,14000000,0.0000,50000,1000,4.2000,28,22910.4488,4200,0,0
9.4572,14000000,0.0000,50000,1000,4.2000,28,22921.3720,4200,0,0
9.4592,14000000,0.0000,50000,1000,4.2000,28,22996.0734,4200,0,0
9.4528,14000000,0.0000,50000,1000,4.2000,28,22830.2966,4200,0,0
9.4624,14000000,0.0000,50000,1000,4.2000,28,22980.7962,4200,0,0
9.4633,14000000,0.0000,50000,1000,4.2000,28,23088.3121,4200,0,0
9.4677,14000000,0.0000,50000,1000,4.2000,28,23007.5135,4200,0,0
9.4628,14000000,0.0000,50000,1000,4.2000,28,22969.5677,4200,0,0
9.4580,14000000,0.0000,50000,1000,4.2000,28,22852.2267,4200,0,0
9.4623,14000000,0.0000,50000,1000,4.2000,28,22757.2963,4200,0,0
9.4573,14000000,0.0000,50000,1000,4.2000,28,22810.6446,4200,0,0
9.4717,14000000,0.0000,50000,1000,4.2000,28,22854.6375,4200,0,0
9.4664,14000000,0.0000,50000,1000,4.2000,28,22956.0024,4200,0,0
9.4609,14000000,0.0000,50000,1000,4.2000,28,22889.4183,4200,0,0
9.4577,14000000,0.0000,50000,1000,4.2000,28,22843.0618,4200,0,0
9.4765,14000000,0.0000,50000,1000,4.2000,28,22873.5006,4200,0,0
9.4599,14000000,0.0000,50000,1000,4.2000,28,22754.5871,4200,0,0
9.4702,14000000,0.0000,50000,1000,4.2000,28,22791.3938,4200,0,0
9.4638,14000000,0.0000,50000,1000,4.2000,28,22797.3796,4200,0,0
9.4680,14000000,0.0000,50000,1000,4.2000,28,22774.5770,4200,0,0
9.4623,14000000,0.0000,50000,1000,4.2000,28,22577.7475,4200,0,0
9.4685,14000000,0.0000,50000,1000,4.2000,28,22757.5814,4200,0,0
9.4542,14000000,0.0000,50000,1000,4.2000,28,22725.8497,4200,0,0
9.4536,14000000,0.0000,50000,1000,4.2000,28,22744.3132,4200,0,0
9.4620,14000000,0.0000,50000,1000,4.2000,28,22757.3915,4200,0,0
9.4634,14000000,0.0000,50000,1000,4.2000,28,22925.5931,4200,0,0
9.4490,14000000,0.0000,50000,1000,4.2000,28,22894.1718,4200,0,0
9.4688,14000000,0.0000,50000,1000,4.2000,28,22884.5054,4200,0,0
9.4572,14000000,0.0000,50000,1000,4.2000,28,22613.0125,4200,0,0
9.4662,14000000,0.0000,50000,1000,4.2000,28,22825.3586,4200,0,0
9.4586,14000000,0.0000,50000,1000,4.2000,28,22777.4604,4200,0,0
9.4762,14000000,0.0000,50000,1000,4.2000,28,22881.1032,4200,0,0
9.4744,14000000,0.0000,50000,1000,4.2000,28,22758.4620,4200,0,0
9.4623,14000000,0.0000,50000,1000,4.2000,28,22565.0878,4200,0,0
9.4660,14000000,0.0000,50000,1000,4.2000,28,22610.0798,4200,0,0
9.4619,14000000,0.0000,50000,1000,4.2000,28,22564.9040,4200,0,0
9.4514,14000000,0.0000,50000,1000,4.2000,28,22765.2961,4200,0,0
9.4618,14000000,0.0000,50000,1000,4.2000,28,22712.8550,4200,0,0
9.4748,14000000,0.0000,50000,1000,4.2000,28,22759.2061,4200,0,0
9.4590,14000000,0.0000,50000,1000,4.2000,28,22673.8927,4200,0,0
9.4728,14000000,0.0000,50000,1000,4.2000,28,23118.9078,4200,0,0
9.4705,14000000,0.0000,50000,1000,4.2000,28,23050.3893,4200,0,0
9.4751,14000000,0.0000,50000,1000,4.2000,28,23108.6444,4200,0,0
9.4694,14000000,0.0000,50000,1000,4.2000,28,23036.1889,4200,0,0
9.4553,14000000,0.0000,50000,1000,4.2000,28,22898.3630,4200,0,0
9.4642,14000000,0.0000,50000,1000,4.2000,28,22824.1067,4200,0,0
9.4586,14000000,0.0000,50000,1000,4.2000,28,22847.2033,4200,0,0
