flipsPerSecond,minEntropy,totalFlips,ratio,entropy,lastRunEntropy,earlyRestarts,flips,cb,variables,tries,sat,clauses
21648.5611,0.4500,281286,4.2000,1.2079,0.9012,0,6286,2.3800,500,12,1,2100
20978.1943,0.4000,4250000,4.2000,1.1682,1.2123,0,25000,2.3800,500,17,0,2100
20989.4690,0.6000,4250000,4.2000,1.1324,1.1543,0,25000,2.3800,500,17,0,2100
28229.8341,0.5000,59801,4.2000,1.1774,0.9125,0,9801,2.3800,500,3,1,2100
33620.4221,0.4000,36504,4.2000,1.0080,0.9301,0,11504,2.3800,500,2,1,2100
21467.1836,0.4000,324645,4.2000,1.1709,0.9194,0,24645,2.3800,500,13,1,2100
51144.9229,0.5000,16006,4.2000,0.9230,0.9230,0,16006,2.3800,500,1,1,2100
21142.7078,0.5000,4250000,4.2000,1.1115,1.1902,0,25000,2.3800,500,17,0,2100
21219.5493,0.4500,4250000,4.2000,1.1778,1.2159,0,25000,2.3800,500,17,0,2100
26818.9527,0.5500,69060,4.2000,1.1273,0.9219,0,19060,2.3800,500,3,1,2100
24432.5675,0.6000,111024,4.2000,1.1614,0.9205,0,11024,2.3800,500,5,1,2100
21230.1836,0.6500,4250000,4.2000,1.1044,1.2539,0,25000,2.3800,500,17,0,2100
21235.3468,0.6000,4500000,4.2000,1.0804,1.2614,0,25000,2.3800,500,18,0,2100
21239.6754,0.6500,4500000,4.2000,1.1673,1.2995,0,25000,2.3800,500,18,0,2100
22079.1160,0.4500,242269,4.2000,1.2162,0.9169,0,17269,2.3800,500,10,1,2100
21283.8119,0.6000,4500000,4.2000,1.1183,1.1726,0,25000,2.3800,500,18,0,2100
21422.6684,0.4500,348563,4.2000,1.1890,0.9428,0,23563,2.3800,500,14,1,2100
21288.9702,0.6000,4500000,4.2000,1.1326,1.3024,0,25000,2.3800,500,18,0,2100
28214.1918,0.4500,64047,4.2000,1.1494,0.9024,0,14047,2.3800,500,3,1,2100
21294.9683,0.5000,4500000,4.2000,1.0619,1.2015,0,25000,2.3800,500,18,0,2100
21264.5184,0.4500,4500000,4.2000,1.1674,1.2706,0,25000,2.3800,500,18,0,2100
22272.3510,0.4500,222956,4.2000,1.2262,0.9115,0,22956,2.3800,500,9,1,2100
21427.9975,0.4500,4500000,4.2000,1.0675,1.2913,0,25000,2.3800,500,18,0,2100
173795.3734,0.6000,2924,4.2000,0.8790,0.8790,0,2924,2.3800,500,1,1,2100
23001.8455,0.5000,171910,4.2000,1.2247,0.9230,0,21910,2.3800,500,7,1,2100
21190.1659,0.4500,4250000,4.2000,1.1539,1.2564,0,25000,2.3800,500,17,0,2100
30622.8468,0.6500,47766,4.2000,1.0792,0.9242,0,22766,2.3800,500,2,1,2100
28173.5073,0.4500,62452,4.2000,1.1345,0.9093,0,12452,2.3800,500,3,1,2100
21351.9897,0.6500,4500000,4.2000,1.0323,0.9601,0,25000,2.3800,500,18,0,2100
21655.6767,0.4000,319345,4.2000,1.2536,0.9111,0,19345,2.3800,500,13,1,2100
35532.8048,0.5000,31732,4.2000,1.0175,0.9266,0,6732,2.3800,500,2,1,2100
21690.1933,0.4500,339134,4.2000,1.1816,0.9394,0,14134,2.3800,500,14,1,2100
21143.3184,0.4500,4250000,4.2000,1.1497,1.2164,0,25000,2.3800,500,17,0,2100
73677.1197,0.5000,8916,4.2000,0.9285,0.9285,0,8916,2.3800,500,1,1,2100
23732.5154,0.4000,130233,4.2000,1.1627,0.9178,0,5233,2.3800,500,6,1,2100
21189.2142,0.4500,4250000,4.2000,1.1499,1.2009,0,25000,2.3800,500,17,0,2100
23267.6385,0.5500,143661,4.2000,1.1602,0.9086,0,18661,2.3800,500,6,1,2100
21238.0846,0.5000,4500000,4.2000,1.1383,1.3129,0,25000,2.3800,500,18,0,2100
21228.9507,0.5000,4500000,4.2000,1.1295,1.0738,0,25000,2.3800,500,18,0,2100
21220.5643,0.6500,4250000,4.2000,1.1632,1.2101,0,25000,2.3800,500,17,0,2100
28031.4285,0.6000,62221,4.2000,1.1421,0.9135,0,12221,2.3800,500,3,1,2100
21202.8483,0.4000,4250000,4.2000,1.0980,1.0673,0,25000,2.3800,500,17,0,2100
28674.0594,0.5500,56651,4.2000,1.1273,0.8968,0,6651,2.3800,500,3,1,2100
21622.9085,0.4500,317888,4.2000,1.2267,0.8961,0,17888,2.3800,500,13,1,2100
21260.5776,0.5000,4500000,4.2000,1.1158,1.1316,0,25000,2.3800,500,18,0,2100
26238.3334,0.4000,83096,4.2000,1.2013,0.9257,0,8096,2.3800,500,4,1,2100
21281.0164,0.5500,4500000,4.2000,1.0953,1.1789,0,25000,2.3800,500,18,0,2100
89581.9576,0.4500,6913,4.2000,0.8678,0.8678,0,6913,2.3800,500,1,1,2100
25257.6128,0.4000,90098,4.2000,1.1265,0.9276,0,15098,2.3800,500,4,1,2100
21246.8164,0.5000,4500000,4.2000,1.1189,1.1664,0,25000,2.3800,500,18,0,2100
21300.7727,0.4000,4500000,4.2000,1.1736,1.3532,0,25000,2.3800,500,18,0,2100
21285.1258,0.5000,4500000,4.2000,1.1123,1.1634,0,25000,2.3800,500,18,0,2100
21320.2891,0.5500,4500000,4.2000,1.1253,1.1420,0,25000,2.3800,500,18,0,2100
27087.6630,0.4000,69692,4.2000,1.2000,0.9120,0,19692,2.3800,500,3,1,2100
22469.3037,0.5000,209792,4.2000,1.2065,0.9126,0,9792,2.3800,500,9,1,2100
134337.1223,0.5500,3984,4.2000,0.8827,0.8827,0,3984,2.3800,500,1,1,2100
88486.4476,0.4500,7048,4.2000,0.8997,0.8997,0,7048,2.3800,500,1,1,2100
43539.6822,0.4000,20734,4.2000,0.9238,0.9238,0,20734,2.3800,500,1,1,2100
21181.4008,0.6500,4250000,4.2000,1.1123,0.9596,0,25000,2.3800,500,17,0,2100
49575.7239,0.5500,16062,4.2000,0.8830,0.8830,0,16062,2.3800,500,1,1,2100
69333.0818,0.5500,9821,4.2000,0.9099,0.9099,0,9821,2.3800,500,1,1,2100
21204.5407,0.4000,4250000,4.2000,1.1601,1.1789,0,25000,2.3800,500,17,0,2100
21250.9229,0.4500,4500000,4.2000,1.1331,1.1981,0,25000,2.3800,500,18,0,2100
21238.0050,0.6500,4500000,4.2000,1.1424,1.2401,0,25000,2.3800,500,18,0,2100
41563.8881,0.4500,24097,4.2000,0.9239,0.9239,0,24097,2.3800,500,1,1,2100
21224.4293,0.5500,4250000,4.2000,1.1180,1.1497,0,25000,2.3800,500,17,0,2100
21221.9444,0.5000,4250000,4.2000,1.1524,1.2059,0,25000,2.3800,500,17,0,2100
22629.6823,0.6000,193622,4.2000,1.2064,0.9162,0,18622,2.3800,500,8,1,2100
61612.3554,0.4500,11620,4.2000,0.9372,0.9372,0,11620,2.3800,500,1,1,2100
21187.6903,0.5500,4250000,4.2000,1.1149,1.1204,0,25000,2.3800,500,17,0,2100
26648.8923,0.6500,72716,4.2000,1.1254,0.8545,0,22716,2.3800,500,3,1,2100
35157.9611,0.6500,32800,4.2000,1.0866,0.9462,0,7800,2.3800,500,2,1,2100
47175.8332,0.5500,17701,4.2000,0.9040,0.9040,0,17701,2.3800,500,1,1,2100
21285.4770,0.5500,393779,4.2000,1.2010,0.9276,0,18779,2.3800,500,16,1,2100
21356.6813,0.6500,4500000,4.2000,1.1392,1.2123,0,25000,2.3800,500,18,0,2100
21064.7810,0.5500,4250000,4.2000,1.1741,1.2371,0,25000,2.3800,500,17,0,2100
21176.1813,0.4000,4250000,4.2000,1.1707,1.1323,0,25000,2.3800,500,17,0,2100
70405.9255,0.6500,9667,4.2000,0.8986,0.8986,0,9667,2.3800,500,1,1,2100
21549.3045,0.6000,295062,4.2000,1.2256,0.9243,0,20062,2.3800,500,12,1,2100
21201.4176,0.4500,4500000,4.2000,1.0878,1.0710,0,25000,2.3800,500,18,0,2100
65409.7135,0.6500,10795,4.2000,0.9178,0.9178,0,10795,2.3800,500,1,1,2100
21088.8048,0.4000,4250000,4.2000,1.1726,1.2565,0,25000,2.3800,500,17,0,2100
21215.3619,0.6500,4250000,4.2000,1.1769,1.2836,0,25000,2.3800,500,17,0,2100
21139.0535,0.5000,4250000,4.2000,1.2087,1.3488,0,25000,2.3800,500,17,0,2100
30734.1620,0.5500,46434,4.2000,1.0466,0.9027,0,21434,2.3800,500,2,1,2100
21232.9801,0.4000,4500000,4.2000,1.1530,1.2714,0,25000,2.3800,500,18,0,2100
21280.5406,0.4000,4500000,4.2000,1.1526,1.2363,0,25000,2.3800,500,18,0,2100
21305.2559,0.6500,4500000,4.2000,1.1593,1.3017,0,25000,2.3800,500,18,0,2100
60086.1440,0.4500,12478,4.2000,0.9236,0.9236,0,12478,2.3800,500,1,1,2100
33668.2031,0.6500,37273,4.2000,1.1098,0.8956,0,12273,2.3800,500,2,1,2100
21164.2841,0.5500,4250000,4.2000,1.1778,1.2741,0,25000,2.3800,500,17,0,2100
85264.0027,0.6000,7391,4.2000,0.9195,0.9195,0,7391,2.3800,500,1,1,2100
72252.8995,0.4500,9439,4.2000,0.9069,0.9069,0,9439,2.3800,500,1,1,2100
25455.2999,0.4000,91678,4.2000,1.1789,0.9478,0,16678,2.3800,500,4,1,2100
21239.1790,0.6000,4500000,4.2000,1.1759,1.2248,0,25000,2.3800,500,18,0,2100
21986.1411,0.5000,258075,4.2000,1.2041,0.9343,0,8075,2.3800,500,11,1,2100
21283.2914,0.4500,4500000,4.2000,1.1838,1.3246,0,25000,2.3800,500,18,0,2100
